QuestionId,AnswerId,CommentId,QuestionAuthor,AnswerAuthor,CommentAuthor,AnswerScore,Tags,CommentIndex,CommentDate,CommentScore,Comment,CommentGroups,HasEditsAfter,"EditGroups(EditIndex,MatchedGroups)",EditId,EditAuthor,EditDate,EditsByAuthor,EditsByOthers,"CommentMentions/Replies(MentionedUser,CommentAuthor)",Confirmed,Useful,Tangled,Category
2256382,2256556,2216384,zhouji,trashgod,Ash,2,<java><image>,1,2010-02-13 6:21:53,0,"(To put my previous comment another way so that it makes a bit more sense): Hence paintComponent isn't called until after the image is loaded. At least, that's what I'm finding when I run it.","['paintComponent', ""'s what I'""]",TRUE,"[(5, ['paintComponent'])]",4581471,trashgod,2010-02-14 13:02:36,3,0,,0,,,
2486428,2486471,2479219,butteff,Whakkee,Luca Filosofi,2,<javascript>,1,2010-03-21 9:36:21,0,"peraphs don't forget to change the setinterval to **setInterval(""wr_hours"",1000);** without parentheses!","['setInterval(""wr_hours"",1000)', 'setInterval']",TRUE,"[(3, ['setInterval(""wr_hours"",1000)', 'setInterval'])]",5072252,Whakkee,2010-03-21 10:47:58,2,0,,0,,,
2494339,2494473,2488339,Juri,None,Juri,0,<javascript><regex><string>,1,2010-03-22 17:56:54,0,"this is it, thanks!
html = html.replace(/ style="".*?width:\s?(\d+).*?height:\s?(\d+).*?""/g, "" width=\""$1\"" height=\""$2\"""");","['replace(/ style="".*?width:\\s?(\\d+).*?height:\\s?(\\d+).*?""/g, "" width=\\""$1\\"" height=\\""$2\\"""")', 'html = html', 'style=""', 'html.replace(/ style="".*?width:\\s?(\\d+).*?height:\\s?(\\d+).*?""/g, "" width=\\""$1\\"" height=\\""$2\\"""")']",TRUE,"[(2, ['replace(/ style="".*?width:\\s?(\\d+).*?height:\\s?(\\d+).*?""/g, "" width=\\""$1\\"" height=\\""$2\\"""")', 'html.replace(/ style="".*?width:\\s?(\\d+).*?height:\\s?(\\d+).*?""/g, "" width=\\""$1\\"" height=\\""$2\\"""")'])]",5089665,None,2010-03-22 17:59:41,1,0,,1,1,0,Correction
2538984,2543357,2545574,jcrowson,Rahul Patel,jcrowson,2,<java><android><sqlite><overlay><itemizedoverlay>,1,2010-03-30 11:00:21,0,"Thanks for the reply Rahul, I have added the populate(); method to the addPoint method, but that did not seem to work. It still does not draw a line between the third point and the last.","['addPoint', 'populate()']",TRUE,"[(2, ['addPoint'])]",5215526,Rahul Patel,2010-03-31 10:57:11,1,0,,1,0,0,Error
2550052,2550109,2552784,zjm1126,Bob,zjm1126,0,<javascript><google-maps>,1,2010-03-31 6:47:29,0,this.set_map ??? which is this function ??,['this.set_map'],TRUE,"[(2, ['this.set_map'])]",5213881,Bob,2010-03-31 8:43:17,1,0,,1,0,0,Question
2563379,2563426,2567213,johnny,Felix Kling,webbiedave,8,<php><odbc>,1,2010-04-01 20:29:14,0,I think you mean $rows[] = $myRow;,"['myRow', '$myRow;', '$rows[]']",TRUE,"[(2, ['$rows[]'])]",5239944,Felix Kling,2010-04-01 20:30:42,1,0,,1,1,0,Correction
2604409,2604454,2614288,rodenbushdesign,user187291,rodenbushdesign,2,<php><apache><.htaccess><mod-rewrite><url-rewr...,1,2010-04-09 1:01:25,0,"ok, now that's what i'm talking about! thank you... so i tried that and i get internal config error with the following:

RewriteEngine on 
RewriteCond %{REQUEST_FILENAME} !-d 
RewriteCond %{REQUEST_FILENAME}\.php -f 
RewriteRule .* index.php?path=$0 [QSA] 
RewriteRule ^(.*)$ $1.php [QSA] 

RewriteCond %{REQUEST_FILENAME} -f 
RewriteRule ^ - [QSA] 
RewriteRule ^([^/]+)/([^/]+)$ /index.php?page=$1&subject=$2 [QSA] 
RewriteRule ^([^/]+)$ /index.php?page=$1 [QSA, L] 

do you see anything wrong with this? thanks in advance!","['RewriteEngine', 'RewriteRule', '$1.php', 'REQUEST_FILENAME', '$1&subject=$2', 'RewriteCond', ""'s what i'""]",TRUE,"[(2, ['RewriteEngine', 'RewriteRule', 'REQUEST_FILENAME', 'RewriteCond'])]",5331547,user187291,2010-04-09 1:36:33,1,0,,1,0,0,Request
2859338,2859362,2903396,Brad,erenon,Brad,2,<php><function>,1,2010-05-18 17:11:18,0,added return $user_in_group; after the for loop,['$user_in_group;'],TRUE,"[(2, ['$user_in_group;'])]",5889163,erenon,2010-05-18 17:16:27,1,0,,0,,,
2856076,2861345,2908551,gargantuan,fredrik,gargantuan,3,<javascript><jquery><oop><scope>,1,2010-05-19 8:27:15,0,"This is so close I can taste it. I had to add ""...})(targetWedge)"" to the end of the anonymous onSuccess function for 'executeSql()' and it is indeed logging the correct label for the targetWedge. 

But two very strange things are happening now. Firstly console.log(result) generates an undefined error. Also, even though it's logging the wedge label (which suggests the anonymous function is being called), it's also calling the default onSuccess handler.

Am I being really dense or is this a genuinely confusing issue?","['onSuccess', ""console.log(result) generates an undefined error. Also, even though it's logging the wedge label (which suggests the anonymous function is being called)"", 'targetWedge', ')(targetWedge)"" to the end of the anonymous onSuccess function for \'executeSql()', ""log(result) generates an undefined error. Also, even though it's logging the wedge label (which suggests the anonymous function is being called)"", 'executeSql', 'executeSql()']",TRUE,"[(2, ['executeSql', 'executeSql()'])]",5904498,fredrik,2010-05-19 14:37:56,1,0,,1,0,1,Error
2901102,2901136,32914543,Elias Zamaria,Kerry Jones,ernix,98,<javascript><formatting><numbers>,1,2014-02-13 16:16:56,0,"@Kerry, this `number_format('str')` returns '0'. I think it's far from interpretation.","[""'0'"", ""'str'"", ""number_format('str')""]",TRUE,"[(6, [""'0'""])]",161461179,T.J. Crowder,2017-11-26 13:13:49,1,4,,0,,,
2922077,2923021,2975790,qwerty,HXCaine,qwerty,0,<android><eclipse>,1,2010-05-27 16:45:28,0,String sum = n+m? cannot convert from int to String..,['sum = n+m'],TRUE,"[(2, ['sum = n+m'])]",6029604,HXCaine,2010-05-27 16:52:08,1,0,,1,1,0,Error
2931102,2931250,2985133,liquilife,pkaeding,liquilife,5,<javascript><validation>,1,2010-05-28 18:11:55,0,"This doesn't seem to be working. I copy/pasted the example page above checking the cookie (the restricted content page). Deleted and verified I have no agecheck cookie. When I visit the page with the HTML you posted nothing happens. Content remains hidden and there is no redirection to ageCheck.html. Any suggestions?

Thanks for your help thus far!",['ageCheck'],TRUE,"[(3, ['ageCheck'])]",6049391,pkaeding,2010-05-28 20:33:09,1,0,,1,0,0,Error
3086257,3086406,3163772,Maimon,Stephen,Maimon,1,<python><parsing>,1,2010-06-21 16:40:50,0,"Here's the code I came up with, but it keeps giving me a sytax error:
infile = OUTPUT
Eng_Total = []
for line in OUTPUT:
 if 'eng_tot' in line.split(): process_blocks
 if re.match(""\s+-+\s+"", line): proccess_metrics_block
 sanitized_line = line[8:]
 eng_total = line.split()[0]
 Eng_Total.append(eng_total)","['sanitized_line', 'append(eng_total)', 'line.split()', 'Eng_Total.append(eng_total)', ""'eng_tot'"", 'infile = OUTPUT', 'split()', 'eng_total', 'eng_total = line', 'proccess_metrics_block', 'process_blocks', 'sanitized_line = line[8:]', 'Eng_Total = []', 'Eng_Total', 'match(""\\s+-+\\s+"", line)', 're.match(""\\s+-+\\s+"", line)']",TRUE,"[(3, ['append(eng_total)', 'line.split()', ""'eng_tot'"", 'split()', 'eng_total', 'match(""\\s+-+\\s+"", line)', 're.match(""\\s+-+\\s+"", line)'])]",6390226,Stephen,2010-06-21 20:52:12,1,0,,1,0,0,Request
3180596,3180655,3275190,fearofawhackplanet,Pekka 웃,Lèse majesté,4,<javascript><jquery><global-variables>,1,2010-07-05 16:33:44,0,"The jQuery doc for `jQuery.data()` (http://api.jquery.com/jQuery.data/) says this is a ""low-level method"" and that you should use `.data()` instead. Do you know what that means and why?","['jQuery.data()', 'data()', 'jQuery', '.data()']",TRUE,"[(3, ['jQuery'])]",6591829,Pekka 웃,2010-07-05 16:38:04,1,0,,1,1,0,Question
3272097,3272126,3385187,one-zero-zero-one,st0le,PaulMcG,0,<python>,1,2010-07-17 16:15:06,1,"String interpolation `""%s(%d)"" % (self.name, self.age)` or `''.join(list_of_string_bits)` are better styles to learn than adding up little bits of strings using '+'.","['s(%d)"" % (self.name, self.age)` or `\'\'.join(list_of_string_bits)', '""%s(%d)"" % (self.name, self.age)', ""''.join(list_of_string_bits)""]",TRUE,"[(2, ['""%s(%d)"" % (self.name, self.age)'])]",6793178,st0le,2010-07-17 17:36:09,1,0,,1,0,0,Flaw
3275324,3275379,3389037,Alex Conrad,polygenelubricants,Kobi,5,<python><regex><regex-negation>,1,2010-07-18 12:07:00,1,"Another option is `\b(?=((?:\w+(?:\W+|$)){3}))`, if you need all triplets in the string: http://rubular.com/r/ZncAfUZldv","['$))', '\\b(?=((?:\\w+(?:\\W+|$)){3}))', 'b(?=((?:\\w+(?:\\W+|$)){3}))']",TRUE,"[(3, ['$))', '\\b(?=((?:\\w+(?:\\W+|$)){3}))', 'b(?=((?:\\w+(?:\\W+|$)){3}))'])]",6799747,polygenelubricants,2010-07-18 12:17:38,1,0,,1,0,0,Extension
3347504,3347598,3507264,lisam,Hbas,BalusC,3,<java><file><file-io><hashmap>,1,2010-07-30 20:15:32,1,"Regardless, `f.close()` will not properly close the `ObjectOutputStream`. You should always call close on the uppermost decorated stream, i.e. `s.close()`.","['f.close()', 'f.close()` will not properly close the `ObjectOutputStream`. You should always call close on the uppermost decorated stream, i.e. `s.close()', 'ObjectOutput', 'close()` will not properly close the `ObjectOutputStream`. You should always call close on the uppermost decorated stream, i.e. `s.close()', 'ObjectOutputStream', 's.close()']",TRUE,"[(2, ['f.close()', 's.close()'])]",7487309,Hbas,2010-08-27 15:47:34,1,0,,1,1,0,Error
3358254,3359695,3495277,Sean,naikus,Sean,3,<javascript><javascript-events><youtube>,1,2010-07-29 16:57:15,1,"Currying is an interesting idea, thanks for that. However, it won't work, because the ""var"" you create is local to the instance of the class. The function that's passed to Youtube's addEventListener MUST be available at the global level. What I've started to do is make each instance an item in an array, and passing in its array key to the class, so I can pass an external function, _yta[ yto ].onPlayerStateChange, to addEventListener. _yta is my array of instances, and yto is the array key that's passed into the instance itself, so it can refer to itself externally. Not done yet but going well.","[""'s passed to Youtube'"", 'onPlayerState', 'addEventListener']",TRUE,"[(3, ['onPlayerState', 'addEventListener'])]",6997655,naikus,2010-07-29 17:15:59,1,0,,1,0,0,Request
3360194,3360387,3490143,klox,Mark Baker,klox,1,<php><mysql><regex>,1,2010-07-29 8:36:00,0,"i want script can do like : 105x0001-105x0500 result 500.it means use regex for search 0001 and 0500.then do counting 0500-0100= [use intval($matches[0][1])-intval($matches[0][0])+1],and show 500,after that this script will work together with mysql.","['$matches[0][1])-intval($matches[0][0])+1],and', 'intval($matches[0][1])-intval($matches[0][0])', '0100=', '0100= [use intval']",TRUE,"[(2, ['$matches[0][1])-intval($matches[0][0])+1],and', 'intval($matches[0][1])-intval($matches[0][0])'])]",6989067,Mark Baker,2010-07-29 10:06:59,1,0,,1,0,0,Request
3366281,3366318,3497007,Ploo,danyim,Eyal Schneider,-1,<java>,1,2010-07-29 19:55:16,0,"But str.split(""[\""\s]"") will also split by spaces inside quotes...","['str.split(""[\\""\\s]"")', 'split(""[\\""\\s]"")']",TRUE,"[(3, ['str.split(""[\\""\\s]"")', 'split(""[\\""\\s]"")'])]",7000420,danyim,2010-07-29 20:01:17,1,0,,1,1,0,Error
3383191,3383237,3517579,Gabriel A. Zorrilla,Marimuthu Madasamy,Gabriel A. Zorrilla,8,<java><internationalization><resourcebundle>,1,2010-08-01 20:02:41,0,"My path is like:
Test/lang/Messages_es.properties
Test/src/test/Main.java

Instead of running java -classpath .\bin foo.Main i set it into the project settings, no luck.",['foo.M'],TRUE,"[(4, ['foo.M'])]",92275288,BuZZ-dEE,2015-06-07 18:43:23,0,1,,0,,,
3439430,3439495,3584052,Luis,Your Common Sense,Luis,4,<php>,1,2010-08-09 12:18:10,0,"I changed the functions.. of course. Im working with PHP.
The part of $row works.. the part of seo_title(), which function it is?","['$row', 'seo_title', 'seo_title()']",TRUE,"[(3, ['seo_title', 'seo_title()'])]",7164358,Your Common Sense,2010-08-09 12:22:08,1,0,,1,0,0,Question
3490738,3490999,3646932,Nazmul Hasan,John La Rooy,stephan,11,<python><dictionary><sum>,1,2010-08-16 7:39:11,2,"Is there any reason you use `map` and `itemgetter` instead of list comprehension in the inner loop (i.e. `dict((k, sum(d[k] for d in dict1)) for k in dict1[0])`)?","['itemgetter', 'dict((k, sum(d[k] for d in dict1)) for k in dict1[0])', 'dict((k, sum(d[k] for d in dict1)) for k in dict1[0])`)', 'map']",TRUE,"[(3, ['dict((k, sum(d[k] for d in dict1)) for k in dict1[0])', 'dict((k, sum(d[k] for d in dict1)) for k in dict1[0])`)'])]",7279101,John La Rooy,2010-08-16 8:06:40,1,0,,1,0,0,Question
3498603,3498816,3677400,Emma,unutbu,Emma,1,<python><numpy>,1,2010-08-18 21:58:27,0,"Thanks for the workaround. That's working for me, but it's a bit tough to generalize. I do a great deal of data processing, and I'm working on a project that will automate much of what I do. I was hoping to use these structured arrays as my data container for the whole project. Unfortunately, the more I look into it, the more these titles seem like an afterthought, tacked on to numpy without full support. I'm thinking of monkey patching the offending numpy.lib.io.flatten_dtype(). I know that isn't generally good practice, but in this case it seems like the easiest route. Any thoughts?","['numpy.lib.io.flatten_dtype()', 'flatten_dtype()']",TRUE,"[(2, ['flatten_dtype()'])]",7337436,unutbu,2010-08-19 1:23:53,1,0,,1,0,0,Request
3517912,3517919,3678442,Arman,Michael Robinson,Arman,7,<javascript><jquery><layout>,1,2010-08-19 0:50:39,0,"thanks!!! and what about removing for all? should I write css('border','none'); for each pane?","[""css('border','none')"", ""'border'"", ""'none'""]",TRUE,"[(2, [""css('border','none')"", ""'border'"", ""'none'""])]",7337193,Michael Robinson,2010-08-19 0:55:48,1,0,,1,0,0,Request
3654295,3654309,35659652,Will,BoltClock,anku_radhey,1398,<php><arrays><string>,1,2014-04-25 13:59:46,0,"use array_filter($linksArray,'trim');","['linksArray', ""array_filter($linksArray,'trim')"", ""'trim'"", 'array_filter', ""$linksArray,'trim');""]",TRUE,"[(7, ['linksArray'])]",122875044,BoltClock,2016-07-18 10:20:43,1,1,,0,,,
3835820,3835837,4073862,Chris,Chuck,Chris,2,<javascript><variables><swap>,1,2010-10-01 1:19:34,0,"this kind of works, although 'default_currency_to' resets as if there was noting in storage, but the 'defaultCurrency' does change to the value that is in default_currency_to","[""'default_currency_to'"", 'defaultCurrency', 'default_currency_to', ""'defaultCurrency'""]",TRUE,"[(2, [""'default_currency_to'"", 'defaultCurrency', ""'defaultCurrency'""])]",8043792,Chuck,2010-10-01 1:28:43,1,0,,1,0,0,Error
3941697,3941993,4208576,michael,Q_Mlilo,Ken Franqueiro,0,<javascript><arrays><image>,1,2010-10-15 12:21:02,0,"Kudos for including ""plain ol' JS"" first. If you're going to show the jQuery equivalent for kicks, then why not update the entire function body to take advantage? `$('img').each(function(index, img) { console.log(img.src); });`","[""$('img').each(function(index,"", 'each(function(index, img) { console.log(img.src); })', ""$('img').each(function(index, img) { console.log(img.src); });"", ""$('img').each(function(index, img) { console.log(img.src); })"", 'jQuery', ""'img'""]",TRUE,"[(3, [""$('img').each(function(index,"", ""'img'""])]",8280221,Q_Mlilo,2010-10-15 13:17:45,1,0,,1,1,0,Solution
