,,,,,,,,50%,60%,70%,80%,90%,100%
151940,Reto Meier,aseq,"It has been a while, but I wonder if something like this is possible with appwidgets? I am having this issue http://stackoverflow.com/questions/9624940/appwidget-keeps-reseting-background-to-transparent and the solution I now have, using a service to listen for events feels a bit like a cludge.",,,,,,,,,,
151940,Reto Meier,JohnnyLambada,@Deco - as long as your objects implement Parcelable.,,,,,,,,,,
151940,Reto Meier,schlingel,"Careful: the official documentation states, that you should save important information within the onPause-Method because the onsaveinstance-method is not part of the android lifecycle. http://developer.android.com/reference/android/app/Activity.html",['onPause'],,,,,,,,,
151940,Reto Meier,Andy,"Very informative answer. I do have one question. If we can recreate what we last had in `onCreate`, when should we use `onRestoreInstanceState`?","['onRestoreInstanceState', 'onRestoreInstance', 'onCreate']",,,,,,,,,
151940,Reto Meier,ataulm,@Andy it's for when the user is in the middle of some activity (e.g. writing in a form) and the activity is destroyed (e.g. because of device orientation change). This method allows you to restore the form state so the user doesn't start over from scratch,,,,,,,,,,
151940,Reto Meier,chakrit,"That fact effectively makes `onSaveInstanceState` almost useless except just for case of screen orientation changes. In almost all other cases, you can never rely on it and will need to manually save your UI state somewhere else. Or preventing your app from being killed by overriding BACK button behavior. I don't understand why they even implemented it like this in the first place. Totally unintuitive. And you can't have that Bundle the system give you to save things into except in this very particular method.","['onSaveInstanceState', 'onSaveInstance']",,,,,,,,,
151940,Reto Meier,Crocode,@schlingel +1 for mentioning that onSaveInstanceState() is not part of the life cycle. I think it's not called when the 'Back' button is pressed. It's called only when 'Home' button is pressed.,"['onSaveInstanceState()', ""'s not called when the '"", ""'s called only when '"", 'onSaveInstance']",,,,,,,,,
151940,Reto Meier,Trojan.ZBOT,@RetoMeier - When is savedInstanceState == null and when is it not null ?,"['When is savedInstanceState == null and when is it not null', 'savedInstanceState']",,,,,,,,,
151940,Reto Meier,schlingel,@Trojan.ZBOT when there's a saved instance state it's not null and when there isn't it's null,"[""'s a saved instance state it'"", ""'t it'""]",,,,,,,,,
151940,Reto Meier,Trojan.ZBOT,"@schlingel - yes. but when do we get a saved instance state ? Always ? On rotation of phone ? On pressing home button ? Etc ? that is my question. I am a beginner, so i don't know these things.",,,,,,,,,,
151940,Reto Meier,Harshal Benake,It works but cn it also work for dynamic data,,,,,,,,,,
151940,Reto Meier,likejudo,"@RetoMeier In onPause/onResume, is it safe to store a member variable integer in view.setTag()?","['setTag', 'setTag()', 'onResume', 'view.setTag()', 'onPause']",,,,,,,,,
151940,Reto Meier,JDJ,"It's also good practice to use constants for the names in your name value pairs, like this: `savedInstanceState.putBoolean(STATE_MY_BOOLEAN, true);`","['savedInstanceState.putBoolean(STATE_MY_BOOLEAN, true);', 'putBoolean(STATE_MY_BOOLEAN, true)', 'savedInstanceState', 'STATE_MY_', 'savedInstanceState.putBoolean(STATE_MY_BOOLEAN, true)', 'putBoolean']",,,,,,,,,
151940,Reto Meier,Srneczek,"leason1 in android class - implement all lifecycle-""like"" methods and use debugger or just plain System.out to check when exactly are those method called. It is essential if you want to build applications for android otherwise your apps will be crashing for no obvious reason but only time to time so you will easily publish it without even noticing it",,,,,,,,,,
151940,Reto Meier,Vicky Chijwani,"Note that saving / restoring UI state to / from the Bundle is *automatically* taken care of *for `View`s that have been assigned ids*. From the `onSaveInstanceState` docs: ""The default implementation takes care of most of the UI per-instance state for you by calling `onSaveInstanceState()` on each view in the hierarchy that has an id, and by saving the id of the currently focused view (all of which is restored by the default implementation of `onRestoreInstanceState(Bundle)`)""","['onRestoreInstanceState(Bundle)', 'onRestoreInstance', 'onSaveInstanceState()', 'onSaveInstanceState', 'onSaveInstance', 'onSaveInstanceState()` on each view in the hierarchy that has an id, and by saving the id of the currently focused view (all of which is restored by the default implementation of `onRestoreInstanceState(Bundle)`)', 'View']",,,,,,,,,
151940,Reto Meier,Adam Johns,@ataulm why wouldn't `onCreate` work for that case? `onCreate` is also called for orientation changes.,['onCreate'],,,,,,,,,
151940,Reto Meier,ataulm,"@AdamJohns hmm, dunno what my point was back then - probably I misunderstood the lifecycle. I'd say now that it's still probably better to do it in `onRestoreInstanceState(Bundle)` because the bundle is not going to be null, whereas in `onCreate(Bundle)`, you'd have to check. There's a good explanation of the difference here: http://stackoverflow.com/a/14676555/494879","['onRestoreInstanceState(Bundle)', 'onCreate(Bundle)', 'onRestoreInstanceState(Bundle)` because the bundle is not going to be null, whereas in `onCreate(Bundle)', 'onRestoreInstance', ""'d say now that it'"", 'onCreate']",,,,,,,,,
151940,Reto Meier,Fivos,@jkschneider In [android developer](http://developer.android.com/training/basics/activity-lifecycle/recreating.html) the super.onSaveInstanceState(savedInstanceState) is called after adding the values in the Bundle. What is correct?,,,,,,,,,,
151940,Reto Meier,rainman,"@RetoMeier this did not work for me, I don't know why !!!
here is my question:http://stackoverflow.com/questions/39822574/how-to-restore-activity-state-in-android/39822770#39822770",,,,,,,,,,
151940,Reto Meier,Al-Kathiri Khalid,"Another reliable way is to actually use savedInstanceState to store the values in the database before navigating away from the activity, onPause or onStop, and populate them accordingly onResume.

That way your application wont need a save button as the Activity always calls protected void onSaveInstanceState(Bundle outState) outState meaning onPause or onStop.

https://github.com/alkathirikhalid/Recipe-App/blob/master/app/src/main/java/com/alkathirikhalid/recipeapp/AddEditActivity.java","['onSaveInstanceState(Bundle outState)', 'savedInstanceState', 'onSaveInstance', 'onPause', 'onStop', 'onResume', 'outState']",,,,,,,,,
151940,Reto Meier,IP Kaal,What about saving whole instance of Fragment and restoring it? Does it apply same technique?,,,,,,,,,,
151940,Reto Meier,Suraj Shingade,on emulator it does not working for me.,,,,,,,,,,
151940,Reto Meier,Prashant,"@RetoMeier how could I use it to store RecyclerView state, I tried many solutions nothing worked for me.",['RecyclerView'],,,,,,,,,
151940,Reto Meier,C James,I've been working on a new framework trying to take the sting out of Android MVP development. It's at https://github.com/cjsoftware-lib/ucsFramework if you're interested. It uses annotation processors to support automatic UI/Background threading and UI state preservation.,,,,,,,,,,
151940,Reto Meier,Shomu,now use livedata. it's more efficiency,,,,,,,,,,
151940,Reto Meier,Shailesh,I agree with @Shomu here is the link for documentation https://developer.android.com/topic/libraries/architecture/,,,,,,,,,,
211161,Jon Skeet,artsrc,"I am really interested in the usefulness of this kind of thing versus the complexity. When I C#'ify your english description I get this:
<pre>
 interface IBuilder<TMessage>
 {
 IMessage<TMessage> GetMessage();
 }

 interface IMessage<TMessage>
 {
 IBuilder<TMessage> GetBuilder();
 }

</pre>","['<TMessage>', 'GetMessage()', 'GetBuilder()', 'GetBuilder', '<pre>', 'IBuilder<TMessage>', 'IMessage<TMessage>', '</pre>', 'GetMessage']",,,,,,,,,
211161,Jon Skeet,Jon Skeet,@artsrc: I can't remember offhand why it needs to be generic in both the builder and the message. I'm pretty sure I wouldn't have gone down that route if I hadn't needed it though :),"[""'m pretty sure I wouldn'""]",,,,,,,,,
211161,Jon Skeet,MD Sayem Ahmed,"@JonSkeet: I might be too late, but couldn't stop asking. Does the `<E extends Enum<E>>` really stops me to pass a type argument which is not the new type being defined? I mean, for example, I could define two subtypes - one is `public class First extends Enum<First>`, and the other one is `public class Second extends Enum<First>`. The declaration isn't stopping me to mix subtypes here.","['<E>', 'Enum<E>', 'Enum<First>', '<E extends Enum<E>>', 'public class Second extends Enum<First>', 'public class First extends Enum<First>', '<First>']",3,1,3,"[(3, ['<First>', 'Enum<E>', 'Enum<First>'])]","[(3, ['Enum<E>', 'Enum<First>', '<First>'])]","[(3, ['Enum<First>', '<First>'])]","[(3, ['<First>', 'Enum<First>'])]","[(3, ['Enum<First>', '<First>'])]","[(3, ['Enum<First>', '<First>'])]"
211161,Jon Skeet,Jon Skeet,"@SayemAhmed: Yes, it doesn't prevent *that* aspect of mixing up the types. I'll add a note about this.",,,,,,,,,,
211161,Jon Skeet,newacct,"""The purpose is to give benefits in the right case rather than protect you from the wrong case."" But in the case of `Enum` there are no benefits beyond the benefits that would be given by just `class Enum<E>`.","['<E>', 'Enum<E>', 'Enum', 'class Enum<E>']",,,,,,,,,
211161,Jon Skeet,newacct,"""I've used something similar in my C# port of ProtocolBuffers."" But that's different because builders have instance methods that return the type parameter type. `Enum` doesn't have any instance methods that return the type parameter type.","['Enum', 'ProtocolBuffers']",,,,,,,,,
211161,Jon Skeet,Jon Skeet,"@newacct: They have `compareTo` that *accepts* the type parameter though - and it enables other things like `EnumMap` to work. It's too early in the morning for me to think about this hard, but I'm pretty sure there *are* benefits to it...","['EnumMap', 'compareTo']",,,,,,,,,
211161,Jon Skeet,newacct,"@JonSkeet: Well, 1) `Enum` cannot be manually subclassed, so it is already guaranteed that the parameter is the same as the type, even without the bound. 2) If `Enum` could be manually subclassed, the bound does not prevent the type parameter to be a different enum type than the instance's type. 3) If you are saying that `compareTo` just needs to use `ordinal` from any `Enum`, then a bound of `class Enum<E extends Enum<?>>` would be sufficient.","['ordinal', 'class Enum<E extends Enum<?>>', 'Enum', 'compareTo']",,,,,,,,,
211161,Jon Skeet,newacct,"@JonSkeet: And even if `Enum` could be manually subclassed, this whole `compareTo` thing can still be done with `class Enum<E>` by making `compareTo` abstract, the language would provide a `compareTo` implementation for `enum` types, and if you manually subclass `Enum`, then you need to provide an appropriate `compareTo` that matches your type parameter. The fact that `compareTo` is non-abstract is a library design issue.","['class Enum<E>', 'compareTo', '<E>', 'Enum<E>', 'Enum', 'enum']",,,,,,,,,
211161,Jon Skeet,Jon Skeet,"@newacct: I suspect that `class Enum<E extends Enum<?>>` would indeed be sufficient in most cases... but given that the enum classes *are* always autogenerated, why not express that extra information within the type system? I don't see it doing any harm, other than causing a bit of head-scratching... and I suspect that there *are* cases where it's useful, even if I'm still having a hard time coming up with an immediate example. Expressing more information in the type system usually feels better than expressing less...",['class Enum<E extends Enum<?>>'],,,,,,,,,
211161,Jon Skeet,newacct,"@JonSkeet: Given that enum classes are always autogenerated, I am claiming that `class Enum<E>` is sufficient in all cases. And in Generics you should only use a more restrictive bound if it's actually necessary to ensure type safety.","['<E>', 'Enum<E>', 'class Enum<E>']",,,,,,,,,
211161,Jon Skeet,newacct,"@JonSkeet: Also, if `Enum` subclasses weren't always autogenerated, the only reason you would need `class Enum<E extends Enum<?>>` over `class Enum<E>` is the ability to access `ordinal` for `compareTo()`. However, if you think about it, it doesn't make sense from the language point of view to allow you to compare two different types of enums via their ordinals. Therefore, the implementation of `Enum.compareTo()` that uses `ordinal` only makes sense in the context of `Enum` subclasses being autogenerated. If you could manually subclass `Enum`, `compareTo` would probably have to be `abstract`.","['ordinal', 'compareTo()', 'class Enum<E>', 'Enum.compareTo()', 'abstract', 'class Enum<E extends Enum<?>>', 'compareTo', ""compareTo()`. However, if you think about it, it doesn't make sense from the language point of view to allow you to compare two different types of enums via their ordinals. Therefore, the implementation of `Enum.compareTo()"", 'Enum<E>', '<E>', 'Enum']",,,,,,,,,
211161,Jon Skeet,Jon Skeet,"@newacct: Maybe you're right. I'm not convinced yet, but maybe you're right. Either way, I don't really think it's appropriate to take this further in comments on an answer over 6 years old, so I'll bow out at this point.","[""'t really think it'""]",,,,,,,,,
211161,Jon Skeet,Rajan Prasad,"Yes. I too noticed that what you mentioned in the Edit is still possible. In this case, `B.compareTo(A a)` will still compile, though it is semantically incorrect.","['B.compareTo(A a)', 'compareTo(A a)', 'compareTo']",,,,,,,,,
240165,Ken Gentle,iny,Should that second be valueOf method?,['valueOf'],3,1,3,"[(3, ['valueOf'])]","[(3, ['valueOf'])]","[(3, ['valueOf'])]","[(3, ['valueOf'])]","[(3, ['valueOf'])]","[(3, ['valueOf'])]"
240165,Ken Gentle,Ken Gentle,[iny] is absolutely correct - edited to reflect.,,,,,,,,,,
240165,Ken Gentle,Ed Staub,"-1 If I'm not mistaken, the advice on valueOf here is ... wrong, to be gentle ;-). `valueOf()` is static, and of no use in the body of a particular enum value. And even once all this is fixed, the ""correct"" implementation would be wrong, in that the compiler doesn't allow a static override on `static public valueOf(String)`. The common fix is to simply not use `valueOf` - use a different name.","['valueOf()', 'valueOf', 'valueOf()` is static, and of no use in the body of a particular enum value. And even once all this is fixed, the ""correct"" implementation would be wrong, in that the compiler doesn\'t allow a static override on `static public valueOf(String)', 'static public valueOf(String)']",,,,,,,,,
273206,gone,Blair Conrad,"I was going to comment on the question, but do we mean os.mkdir? My python (2.5.2) has no os.path.mkdir....",,2,1,2,,,,,,
273206,gone,Serge S.,There is no `os.path.mkdir()` method. [os.path](http://docs.python.org/library/os.path.html) module implements some useful *functions on pathnames*.,"['mkdir()', 'os.path.mkdir()']",,,,,,,,,
273206,gone,Chris Johnson,This is terrible advice. See http://stackoverflow.com/a/5032238/763269.,,,,,,,,,,
276739,Owen,flesh,"I was using OnBeforeUnload in order to return the user to the page, rather than actually allowing them to leave - onunload occurs after the page has unloaded surely?

Also, I cannot get your onunload function to work for some reason?",['OnBefore'],2,1,2,,,,,,
276739,Owen,jb.,I've found that the JQuery example of given at the end not to work in firefox. Stick with the simple way instead: window.onbeforeunload = function() {...},"['function()', 'onbeforeunload = function']",,,,"[(3, ['onbeforeunload = function'])]","[(3, ['onbeforeunload = function'])]","[(3, ['onbeforeunload = function'])]","[(3, ['onbeforeunload = function'])]","[(3, ['onbeforeunload = function'])]","[(3, ['onbeforeunload = function'])]"
276739,Owen,ijw,"I've gone with jb's solution, not least because the return value is significant; also, for newcomers to this, note that 'return;' in your event handler will make sure nothing pops up at all if you don't actually have any outstanding work to do or you can resolve it without talking to the user.","[""' in your event handler will make sure nothing pops up at all if you don'"", ""'ve gone with jb'""]",,,,,,,,,
276739,Owen,tj111,"Adding this comment mostly so google can relate mootools or other JS libraries with the post. It seems you have to use the straight JS method for this regardless of what library you are using. It may be possible, but not worth the hassle.",,,,,,,,,,
276739,Owen,David Hammond,Just a note that Firefox was recently changed so that the text in the dialog can't even be customized: https://bugzilla.mozilla.org/show_bug.cgi?id=588292,,,,,,,,,,
276739,Owen,Varun,"But how does facebook provide a custom dialog box then? for example, go to the messages page, reply to your friend's message and then before clicking send, try clicking another link. you'll see a custom dialog popup",,,,,,,,,,
276739,Owen,Tabloo Quijico,"@Varun - old news but Facebook are possibly putting handlers on the click event of all their anchors, but if you rewrite the URL in the browser or close the window, it reverts to the standard method which they have no control over.",,,,,,,,,,
276739,Owen,Sébastien Richer,"@Varun I am also surprised that this answer that ways it'S impossible is flagged as the answer and have 150 upvotes... Just realized, FB's custom message is only available through links inside their site. Not if you simply navigate away...",,,,,,,,,,
276739,Owen,Parth Vora,"Is there any way to completely get rid of that onbeforeunload dialogue? I mean if I reload the page, it just reloads the page without showing that popup.",,,,,,,,,,
276739,Owen,Mark Amery,"*""a dialog box appears that gives users the option to stay on the current document and retain the string that was assigned to it""* - huh? This is incoherent nonsense, still uncorrected in the Microsoft docs a decade later. What does it mean for a user to ""retain a string""?",,,,,,,,,,
281433,Vinko Vrsalovic,vIceBerg,"Isn'nt the exact thing as sum(vote) / count(*) ???
5+5+5+5+4 = 24.
24 / 5 votes = 4.8","['sum(vote) / count(*)', 'votes = 4', '4 = 24']",2,1,2,"[(2, ['sum(vote) / count(*)'])]","[(2, ['sum(vote) / count(*)'])]","[(2, ['sum(vote) / count(*)'])]","[(2, ['sum(vote) / count(*)'])]","[(2, ['sum(vote) / count(*)'])]","[(2, ['sum(vote) / count(*)'])]"
281433,Vinko Vrsalovic,Vinko Vrsalovic,Indeed. I only translated the formula into SQL :-),,,,,,,,,,
281433,Vinko Vrsalovic,Dave DuPlantis,But he is not calculating a simple mean. Remember there were only three votes given in his example.,,3,0,,,,,,,
281433,Vinko Vrsalovic,Vinko Vrsalovic,"True, I got confused, as usually happens. Fixed",,,,,,,,,,
281433,Vinko Vrsalovic,jmccartie,"Perfect thanks. Final query:

select sum(vt)/sum(cnt) FROM (select count(vote) as 
cnt,vote*count(vote) as vt from votes group by vote) a;

(with a dynamic 'where section_id=$id' tacked on).","['sum(vt)/sum(cnt) FROM (select count(vote)', ""$id'"", 'section_id', 'count(vote) as vt from votes group by vote)']",,,,,,,,,
281433,Vinko Vrsalovic,Vinko Vrsalovic,"No, that'll do an arithmetic mean :) See fixed query.",,,,,,,,,,
281433,Vinko Vrsalovic,jmccartie,"Right, i see the diff now. Thanks.",,,,,,,,,,
327384,Zoredache,benlumley,i like your second suggestion. do it and forget about it until performance is an issue. at that point it might be worth investigating the first option.,,,,,,,,,,
327384,Zoredache,smarthall,If only I'd have thought of that! Your first solution sounds like the exact thing I was looking for.,,,,,,,,,,
327384,Zoredache,Gary Richardson,"I've used pattern #2 frequently. Perl's DBI has a prepare_cached() function, so if you queries with similar numbers of placeholders, it will reuse statement handles. Not sure about PHP though..","['prepare_cached()', 'prepare_cached']",,,,,,,,,
327384,Zoredache,orrd,"Creating a temporary table would be overkill unless the data set is huge. The sample code is overly complicated (half of those variables can be eliminated and the code can be greatly simplified by doing more of the work in-line). But the basic idea is a good one, using implode(',',array_fill(0,count($params),'?')) to generate the ""?""s, then just pass the $params as the data to bind.","[""$params),'"", '$params', ""implode(',',array_fill(0,count($params),'?'))""]",3,1,3,"[(3, [""$params),'"", ""implode(',',array_fill(0,count($params),'?'))"", '$params'])]","[(3, [""$params),'"", '$params', ""implode(',',array_fill(0,count($params),'?'))""])]","[(3, [""$params),'"", '$params', ""implode(',',array_fill(0,count($params),'?'))""])]","[(3, [""implode(',',array_fill(0,count($params),'?'))"", ""$params),'""])]","[(3, [""$params),'"", ""implode(',',array_fill(0,count($params),'?'))""])]",
327384,Zoredache,Zoredache,"@orrd, meh... When I composed this answer I was trying to make verbose so it would be easy to understand. I agree, that it can be simplified, but I don't think the simplification you suggested would make the answer easier to follow, or have any significant impact on performance. In any case, I'll update my answer and add a compact version for you.",,,,,,,,,,
327384,Zoredache,Kerwin Sneijders,"After so many years, there still is no better way than to hack around it? Why does it not accept an array... As far as I have seen, `call_user_func_array` is still the most 'less hacky' way to do it...","[""'less hacky'"", 'call_user_func_array']",,,,,,,,,
389793,Nathan Long,Louis,My naming convention is to have a `$` in front. e.g. `var $allItems = ...`,"['var $allItems = ...', '$', '$allItems', 'allItems =', 'allItems']",3,1,3,"[(3, ['allItems', 'var $allItems = ...', 'allItems =', '$allItems'])]","[(3, ['var $allItems = ...', '$allItems', 'allItems =', 'allItems'])]","[(3, ['allItems =', '$allItems', 'allItems'])]","[(3, ['allItems', 'allItems =', '$allItems'])]","[(3, ['allItems', '$allItems'])]","[(3, ['$allItems'])]"
389793,Nathan Long,Daniel Little,$Javascript isn't php stop with the $'s already,"[""$'s"", '$Javascript']",,,,,,,,,
389793,Nathan Long,Nathan Long,"@Lavinski - I think the idea is that the `$` indicates that this is a jQuery object, which would make it easier to visually differentiate from other variables.","['$', 'jQuery']",,,,,,,,,
389793,Nathan Long,Nathan Long,"@Louis - I have since adopted your convention, and will update my answer accordingly. :)",,,,,,,,,,
389793,Nathan Long,daGrevis,I like this convention.,,,,,,,,,,
2204253,John Boker,Jake,hmm.. How to know how many are checked in that checkbox array?,,2,0,,,,,,,
2204253,John Boker,John Boker,just edited it to find the number checked.,,,,,,,,,,
2204253,John Boker,Zubin,"Another way is `$('#'+id).attr('checked')`, which is equivalent to `$('#' + id).is("":checked"")` but easier to remember IMO.","[""$('#'+id).attr('checked')"", ""'checked'"", '$(\'#\' + id).is("":checked"")', 'attr(\'checked\')`, which is equivalent to `$(\'#\' + id).is("":checked"")', '$(\'#\'+id).attr(\'checked\')`, which is equivalent to `$(\'#\' + id).is("":checked"")', ""$('#'""]",,,,,,,,,
2204253,John Boker,Joey Adams,"@Zubin: Be careful with `.attr('checked')`. Its behavior changed in jQuery 1.6. It used to return `false` or `true`. Now it returns `undefined` or `""checked""`. `.is(':checked')` does not have this problem.","['true', "".is(':checked')"", 'false', "".attr('checked')"", 'attr(\'checked\')`. Its behavior changed in jQuery 1.6. It used to return `false` or `true`. Now it returns `undefined` or `""checked""`. `.is(\':checked\')', ""'checked'"", 'jQuery', '.attr(\'checked\')`. Its behavior changed in jQuery 1.6. It used to return `false` or `true`. Now it returns `undefined` or `""checked""`. `.is(\':checked\')', 'undefined', '""checked""']",,,,,,,,,
2204253,John Boker,Mike_OBrien,"@John Boker: sorry for the necro comment but, why is it that `$('.ClassName').is(':checked')` doesn't seem to work but `$('#' + id).is("":checked"")` does? aside from the fact that one looks up by id and one by classname.","[""$('.ClassName').is(':checked')"", 'ClassName', '$(\'.ClassName\').is(\':checked\')` doesn\'t seem to work but `$(\'#\' + id).is("":checked"")', 'is(\':checked\')` doesn\'t seem to work but `$(\'#\' + id).is("":checked"")', '$(\'#\' + id).is("":checked"")', ""$('#'""]",,,,,,,,,
2204253,John Boker,John Boker,@Mike_OBrien The problem could be that there is more than one checkbox with that class name. The is(':checked') really only works on one element.,"[""is(':checked')"", '_OBrien']",,,,,,,,,
2204253,John Boker,Mike_OBrien,@John Boker: So if I know there will only ever be one element with a particular class name would treating the return from the class selector like an array work? meaning do something like: `$('.ClassName')[0].is(':checked')`?,"[""is(':checked')"", 'ClassName', ""$('.ClassName')[0].is(':checked')""]",,,,,,,,,
2204253,John Boker,John Boker,"@Mike_OBrien Yes, but to get that one checkbox you'll have to do something like I have here http://jsfiddle.net/hYG4P/",['_OBrien'],,,,,,,,,
2204253,John Boker,JM4,Note: size() has been deprecated since jQuery 1.8 - use .length instead,"['size()', 'jQuery']",3,1,3,"[(3, ['size()'])]","[(3, ['size()'])]","[(3, ['size()'])]","[(3, ['size()'])]","[(3, ['size()'])]","[(3, ['size()'])]"
2204253,John Boker,Asle,"I agree with @Zubin about `.attr('checked')` since that will not work when testing `if($(this).attr('checked'))`but `if($(this).is("":checked""))` will work since it returns `true` or `false` . I had struggled with that on some old code where I upgraded jQuery version. This works fine now on jQuery 1.10.","['true', 'if($(this).is("":checked""))', "".attr('checked')"", ""'checked'"", 'jQuery', ""if($(this).attr('checked'))"", 'attr(\'checked\')` since that will not work when testing `if($(this).attr(\'checked\'))`but `if($(this).is("":checked""))', ""$(this).attr('checked'))"", 'false', '.attr(\'checked\')` since that will not work when testing `if($(this).attr(\'checked\'))`but `if($(this).is("":checked""))', '$(this).is("":checked""))']",,,,,,,,,
2204253,John Boker,nbi,$('#'+id).prop('checked') will return either true or false.,"[""$('#'+id).prop('checked')"", ""prop('checked')"", ""'checked'""]",,,,,,,,,
